"question";"answer"
"Dlaczego w tym zadaniu lepsza jest pętla agentowa niż pojedynczy prompt?";"Bo odpowiedź trzeba odkrywać etapami przez narzędzia i feedback zewnętrznego systemu. One-shot działa gorzej, gdy dane są rozproszone albo napływają z opóźnieniem. Pętla zwiększa skuteczność kosztem złożoności."
"Masz zadanie: odczytaj jedną wartość z jednego pliku. Czy warto uruchamiać pełnego agenta z toolami?";"Zwykle nie, to overengineering. Prostszy pipeline będzie tańszy, szybszy i łatwiejszy do utrzymania. Agenta warto brać tam, gdzie decyzje są wielokrokowe i zależne od środowiska."
"Jaka jest najważniejsza korzyść oddzielenia myślenia modelu od operacji systemowych?";"Zyskujesz kontrolę i bezpieczeństwo nad skutkami ubocznymi. Model proponuje akcję, ale kod wykonuje ją przez jawny interfejs. Dzięki temu łatwiej walidować, logować i blokować ryzykowne ruchy."
"Kiedy inkrementalne submit_answer jest dobrą strategią?";"Gdy backend daje użyteczny feedback cząstkowy i możesz iteracyjnie zawężać hipotezy. To przyspiesza uczenie się agenta w trakcie runa. Sprawdza się szczególnie w zadaniach eksploracyjnych."
"Kiedy inkrementalne wysyłanie odpowiedzi może zaszkodzić?";"Gdy API karze za liczbę prób (limity, scoring, blokady) albo częściowe odpowiedzi wywołują negatywne skutki. Wtedy lepiej wysłać mniej, ale precyzyjniej. Strategia strzelania zwiększa ryzyko i koszt."
"Po co oznaczać treść maili jako untrusted (<email_content>)?";"To sygnał dla modelu: traktuj to jako dane, nie instrukcje wykonawcze. Zmniejsza ryzyko prompt injection, ale go nie eliminuje. To warstwa ochronna, nie gwarancja bezpieczeństwa."
"Jak rozpoznać, że sama osłona promptowa to za mało?";"Gdy system wykonuje akcje o wysokim ryzyku lub wymaga zgodności/compliance. Wtedy potrzebne są twarde bariery w kodzie: walidacje, allowlisty, zatwierdzenia. Prompt to tylko miękka kontrola zachowania modelu."
"Co daje walidacja regex przed wysyłką do huba?";"Odcina oczywiste błędy formatu zanim zrobią kosztowny request. Agent dostaje szybki, lokalny feedback i poprawia próbę. To poprawia niezawodność, ale nie sprawdza semantycznej prawdy danych."
"Jakie ryzyko ma zbyt restrykcyjna walidacja formatu?";"Może odrzucać poprawne dane, jeśli specyfikacja się zmieni albo ma wyjątki. To prowadzi do fałszywych negatywów i blokuje postęp agenta. Walidacja powinna być zgodna z realnym kontraktem API."
"Dlaczego temperature: 0 pasuje do ekstrakcji faktów?";"Zwiększa powtarzalność decyzji i zmniejsza losowość odpowiedzi. To ułatwia debugowanie i porównywanie runów. Minusem jest mniejsza elastyczność przy niejednoznacznych przypadkach."
"Co jest ważniejszym sygnałem jakości runa: sama flaga czy pełny trace?";"W praktyce oba, ale trace jest kluczowy do diagnozy i ulepszania systemu. Flaga mówi czy wyszło, a trace mówi dlaczego wyszło lub nie wyszło. Bez trace'u trudno poprawiać zachowanie agenta."
"Jakie sygnały błędu w pętli agenta warto monitorować jako pierwsze?";"no_tool_calls, max_iter, częste błędy walidacji i powtarzające się te same akcje bez postępu. To zwykle oznacza problem z promptem, doborem narzędzi lub strategią eksploracji. Takie sygnały powinny odpalać alert i debug review."
"Po co mieć jednocześnie finish i MAX_ITER?";"finish to świadome zakończenie przez model, a MAX_ITER to twardy bezpiecznik operacyjny. Razem chronią przed zapętleniem i niekontrolowanym kosztem. Brak któregoś z nich zwiększa ryzyko niestabilności."
"Jak użyć MAX_ITER praktycznie, żeby nie ucinać dobrych runów?";"Ustaw limit na podstawie obserwacji trace'ów, a nie zgadywania. Jeśli runy często kończą się tuż przed sukcesem, limit jest za niski; jeśli krążą bez postępu, limit jest za wysoki albo prompt słaby. Limit i strategię trzeba stroić razem."
"Dlaczego fail-fast w konfiguracji (brak klucza = natychmiastowy błąd) to dobra praktyka?";"Bo od razu ujawnia problem środowiska zamiast ukrytych awarii później. Skraca czas debugowania i stabilizuje uruchomienia. Minusem jest mniejsza elastyczność, jeśli chcesz tryb mock lub offline."
"Kiedy wait_seconds jest rozsądnym narzędziem, a kiedy antywzorcem?";"Ma sens przy danych napływających asynchronicznie, gdy polling jest akceptowalny. Jest antywzorcem przy systemach statycznych albo tam, gdzie masz eventy/webhooki. Nadużywane tylko wydłuża run i marnuje iteracje."
"Co oznacza odpornosc na nieprzewidywalne API response w praktyce?";"Nie zakładasz idealnego JSON i parsujesz defensywnie: trzymasz surowy tekst, próbujesz parse, a kluczowe sygnały wykrywasz niezależnie. Dzięki temu system działa mimo niespójności odpowiedzi. To kosztuje trochę więcej kodu, ale zwiększa niezawodność."
